Título,ISBN,Categoría
She: A History of Adventure,9781519430144,Fantasía
East of Eden,9780142004234,Literatura Clásica
The Ginger Man,9780802144669,Ficción
The Lion the Witch and the Wardrobe,9780064471046,Fantasía
Bury My Heart at Wounded Knee,9780805086843,Historia
A Good Girl's Guide to Murder,9781984896391,Misterio
The Ginger Man,9780802144669,Ficción
The Name of the Rose (Il Nome della Rosa),9788845210662,Ficción Histórica
Watership Down,9780743277709,Literatura Clásica
A Good Girl's Guide to Murder,9781984896391,Misterio
The Hite Report,9781583225691,Feminismo
Harry Potter and the Goblet of Fire,9780439139601,Fantasía
Harry Potter and the Prisoner of Azkaban,9780439136365,Fantasía
Harry Potter and the Half-Blood Prince,9780439785969,Fantasía
