Título,ISBN,Categoríac
Pride and Prejudice and Zombies,9781594743344,Ciencia Ficción
The Eagle Has Landed,9780425177181,Ficción Histórica
She: A History of Adventure,9781519430144,Fantasía
Harry Potter and the Goblet of Fire,9780439139601,Fantasía
She: A History of Adventure,9781519430144,Fantasía
The House of Mirth,9780140187298,Ciencia Ficción
You Can Heal Your Life,9780937611012,Autoayuda
The Man Who Was Thursday,9781659553758,Misterio
Harry Potter and the Goblet of Fire,9780439139601,Fantasía
The Bridges of Madison County,9780446516525,Romance
She: A History of Adventure,9781519430144,Fantasía
The Lion the Witch and the Wardrobe,9780064471046,Fantasía
